fname,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock,y_pred
Shakira_Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song].wav,0.1293472945690155,0.08556084334850311,0.0649590864777565,0.30893024802207947,0.014144385233521461,0.0985664576292038,0.16856318712234497,0.12992854416370392,Hip-Hop
Sia_Cheap Thrills.wav,0.22157691419124603,0.06613631546497345,0.06241672858595848,0.149591326713562,0.007948290556669235,0.11413110792636871,0.17109401524066925,0.207105353474617,Electronic
T-Pain_Take Your Shirt Off.wav,0.16117191314697266,0.18676505982875824,0.03353156894445419,0.2222234457731247,0.002859496045857668,0.09767776727676392,0.08489387482404709,0.21087701618671417,Hip-Hop
The Chainsmokers_Closer (feat. Halsey).wav,0.12816479802131653,0.07116417586803436,0.07135441154241562,0.28948208689689636,0.019682958722114563,0.11659729480743408,0.16207773983478546,0.1414763480424881,Hip-Hop
The Chainsmokers_Don't Let Me Down.wav,0.23437532782554626,0.04579827934503555,0.07640881091356277,0.15265671908855438,0.008825469762086868,0.05984543636441231,0.14951850473880768,0.27257153391838074,Rock
The Chainsmokers_Something Just Like This.wav,0.3197685778141022,0.03190562129020691,0.07690338790416718,0.14860066771507263,0.02751087211072445,0.12803560495376587,0.1574569046497345,0.10981860011816025,Electronic
The Clash_London Calling - Remastered.wav,0.06659075617790222,0.0900295302271843,0.14662913978099823,0.15046487748622894,0.015195069834589958,0.09838224947452545,0.1274845451116562,0.30522385239601135,Rock
The Doors_Riders on the Storm.wav,0.089209645986557,0.06402572244405746,0.06447583436965942,0.2075561285018921,0.017946725711226463,0.20817723870277405,0.19353890419006348,0.15506964921951294,International
The Doors_Roadhouse Blues.wav,0.038802050054073334,0.038365963846445084,0.0771467387676239,0.13071544468402863,0.02869998849928379,0.11211176216602325,0.10586724430322647,0.468290776014328,Rock
The Necks_Rise.wav,0.10280261188745499,0.0945722684264183,0.11058184504508972,0.3084676265716553,0.007797316648066044,0.08031682670116425,0.2372300773859024,0.058231525123119354,Hip-Hop
The Prodigy_Breathe.wav,0.6132583618164062,0.012668808922171593,0.0019798821303993464,0.0754215270280838,0.011918306350708008,0.039350952953100204,0.15658460557460785,0.08881747722625732,Electronic
The Prodigy_Firestarter.wav,0.4209975302219391,0.04051273316144943,0.015783093869686127,0.12131480127573013,0.011385401710867882,0.0321648083627224,0.1856744885444641,0.17216700315475464,Electronic
The Prodigy_Omen.wav,0.4384242594242096,0.04621179401874542,0.005268228705972433,0.1226249635219574,0.022260475903749466,0.055540960282087326,0.21466992795467377,0.09499946981668472,Electronic
The Red Army Choir_Katioucha.wav,0.021167799830436707,0.18867315351963043,0.23120252788066864,0.06315600126981735,0.06471454352140427,0.2467985600233078,0.13893897831439972,0.04534834623336792,International
TOOL_Lateralus.wav,0.1201561763882637,0.0433778315782547,0.0376875065267086,0.12097074836492538,0.025002719834446907,0.09664939343929291,0.1350146234035492,0.4211409389972687,Rock
TOOL_Mantra.wav,0.0075300163589417934,0.08994260430335999,0.377683162689209,0.02072696015238762,0.13836480677127838,0.06820172071456909,0.07972188293933868,0.21782878041267395,Folk
"Train_Hey, Soul Sister.wav",0.07131966948509216,0.19746439158916473,0.1407599151134491,0.21291090548038483,0.0032543104607611895,0.03491157665848732,0.1844685971736908,0.15491053462028503,Hip-Hop
Trampled by Turtles_Alone.wav,0.011320815421640873,0.21832555532455444,0.31529319286346436,0.04529767110943794,0.0007347330101765692,0.030189068987965584,0.11602169275283813,0.26281729340553284,Folk
Tuvan National Orchestra_Tyva Men.wav,0.02742459811270237,0.0501384437084198,0.10446230322122574,0.07863246649503708,0.11169400066137314,0.25594377517700195,0.10361336916685104,0.26809099316596985,Rock
Tycho_Melanine.wav,0.14618156850337982,0.20865237712860107,0.2884143590927124,0.0772428959608078,0.010599135421216488,0.08403261750936508,0.0963233932852745,0.08855345845222473,Folk
Týr_Turið Torkilsdóttir.wav,0.09016942977905273,0.005704229697585106,0.0189797542989254,0.00904881302267313,4.458723196876235e-05,0.03661608695983887,0.21868936717510223,0.6207478046417236,Rock
Visible Cloaks_Bloodstream.wav,0.03665672242641449,0.07279793918132782,0.22632504999637604,0.13059939444065094,0.026157643646001816,0.17738883197307587,0.2245561182498932,0.10551848262548447,Folk
Wardruna_Odal.wav,0.07574955374002457,0.13599981367588043,0.18909157812595367,0.09017100185155869,0.02836858481168747,0.04328245297074318,0.19065535068511963,0.2466815710067749,Rock
