fname,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock,y_pred,preview_url,picture
ODESZA_Late Night.wav,0.116189674,0.081749201,0.15748179,0.20903644,0.045253351,0.056811630999999994,0.204918921,0.128559098,Hip-Hop,https://p.scdn.co/mp3-preview/29e3e461ed0deccb608168d818327213806ade5a?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27399a3a1c380019cdc2ba9b8c2
ODESZA_Sundara.wav,0.131621927,0.100384548,0.053884391,0.321152925,0.001763014,0.084810019,0.117817588,0.18856562699999999,Hip-Hop,https://p.scdn.co/mp3-preview/f8603067cbb7b7f3de497f47a1e2badac1139ea9?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2732d86f76b4e373e312f3662b5
OMI_Cheerleader - Felix Jaehn Remix Radio Edit.wav,0.203984931,0.11238645,0.03832991,0.39413166,0.006160774,0.046834532000000005,0.11799129800000001,0.08018022799999999,Hip-Hop,https://p.scdn.co/mp3-preview/df00fe4f86cef1dbc93ffcbc83de7aea46cb9c38?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27332e7ffa3435fe9c5faae5dd8
OutKast_Roses.wav,0.158387899,0.060053590999999996,0.045391957999999996,0.231369048,0.007487972,0.099129237,0.161040589,0.23713974699999998,Rock,https://p.scdn.co/mp3-preview/b451e1a37d16658c39c5d4e3583ab9f223f21279?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2736a6387ab37f64034cdc7b367
Panic! At The Disco_I Write Sins Not Tragedies.wav,0.088606492,0.114649154,0.061943732,0.07790648900000001,0.00067827,0.033803854,0.22515499600000002,0.397256911,Rock,https://p.scdn.co/mp3-preview/556f250ec0047b8449f920fd62f401ea77624c18?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273e8b923caee478adf4a5b56de
Passenger_Let Her Go.wav,0.077549048,0.066504665,0.089685254,0.108968444,0.002714389,0.031606887,0.194848463,0.428122729,Rock,https://p.scdn.co/mp3-preview/63f413aabb9ba8c4a4114de4f313413a514a47e9?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273cd318f88c2016b08fa9834f9
"Pink Floyd_Another Brick in the Wall, Pt. 2.wav",0.052940588,0.093056709,0.126517206,0.16166614,0.03774919,0.18342018100000002,0.136491686,0.20815824,Rock,https://p.scdn.co/mp3-preview/92210b01fcc6efa80008663c158baf79cf0d7b5f?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273a69daf940429089524e93ceb
Pink Floyd_Comfortably Numb.wav,0.027196951,0.09974384300000001,0.135333419,0.096960269,0.010741131000000001,0.220382616,0.204147398,0.20549427,International,https://p.scdn.co/mp3-preview/daf1a7a5cf0ca8fc212ce61ac3d058fb12e2814f?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273a69daf940429089524e93ceb
Portugal. The Man_Feel It Still.wav,0.22910016800000002,0.10200425199999999,0.035292502,0.326126218,0.009193446999999999,0.058077767,0.145354182,0.094851315,Hip-Hop,https://p.scdn.co/mp3-preview/5b50706cd5bbadf1c77cba0d7a5b883c84d2c808?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273e2fdc4cae88a854b214b35ac
Ryuichi Sakamoto_async.wav,0.194139093,0.06447098400000001,0.128076702,0.146596059,0.042716254,0.213699996,0.11251872,0.09778231400000001,International,https://p.scdn.co/mp3-preview/d7132118c307ceadbbf79e3e3b03b6f482237203?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2739a13b781364222146f54b938
